CATEGORY,STATES,SAL_SEVEN_EIGHT,SAL_EIGHT_NINE,SAL_NINE_TEN,SAL_TEN_ELE,SAL_ELE_TWE,SAL_TWE_THI,SAL_THI_FOR,REV_SEVEN_EIGHT,REV_EIGHT_NINE,REV_NINE_TEN,REV_TEN_ELE,REV_ELE_TWE,REV_TWE_THI,REV_THI_FOR,SAL_PE_7_8,SAL_PE_8_9,SAL_PER_9_10,SAL_PER_10_11,SAL_PER_11_12,SAL_PER_12_13,SAL_PER_13_14
Special Category States (SCS),Arunachal Pradesh,416,843,1462,1395,1996,1759,2235.2,2161,2665,3285,3122,3898,4188,3992,19,32,45,45,51,42,55.99
Special Category States (SCS),Assam,5767,5415,6466,11591,9278,11989,12825.06,9891,11235,14235,21977,24764,28652,27329,58,48,45,53,37,42,46.93
Special Category States (SCS),Himachal Pradesh,3015,3315,3973,5166,5306,6130,6956.42,5640,6391,7847,9891,9551,11058,12426,53,52,51,52,56,55,55.98
Special Category States (SCS),Jammu and Kashmir,4475,5078,6023,7722,9904,10701,13811,8561,9201,11617,13941,17101,18932,21760,52,55,52,55,58,57,63.47
Special Category States (SCS),Manipur,890,1063,1149,1673,2210,2350,2627.33,1788,2041,2399,3313,3981,4123,5400,50,52,48,51,56,57,48.65
Special Category States (SCS),Meghalaya,941,1015,1493,1857,2179,2094,1987.24,1930,2299,2741,3441,4173,4297,6644,49,44,54,54,52,49,29.91
Special Category States (SCS),Mizoram,598,862,998,1304,1411,1651,1959.39,1484,1805,2121,2701,3124,3850,4363,40,48,47,48,45,43,44.91
Special Category States (SCS),Nagaland,1123,1254,1494,2036,2339,2591,2821.72,2042,2347,2611,3458,3872,4585,5295,55,53,57,59,60,57,53.3
Special Category States (SCS),Sikkim,493,576,969,1096,875,971,1097.3,979,1178,1549,1665,2065,2083,2757,50,49,63,66,42,47,39.8
Special Category States (SCS),Tripura,1300,1375,2007,2106,2156,2343,3073.66,2083,2379,3245,3257,3586,3986,5445,62,58,62,65,60,59,56.45
